node1,node2,weight
galaxy:center,molecularclouds,4
forests,air,2
models,sequences,6
wetland,gradient,2
complexnetworks,metapopulation,2
seismicquiescence,patterns,2
density-dependence,populationregulation,4
lake,nutrient,2
spike,molecules,2
fracture,fracture-mechanics,4
self-similarity,behavior,2
cellularautomata,competition,2
kilifidistrict,area,2
geographicinformation-systems,virus-infection,2
features,areas,2
reeffish,mexico,2
ethiopia,infection,2
regionalization,model,2
celladhesion,cytoskeleton,2
hotspot,outbreak,2
evolution,finland,2
high-beta,cluster,2
landuse,chesapeakebay,2
sediments,sourceidentification,8
body,microarray,2
residualanalysis,prediction,2
displacement,space,2
mri,frontotemporaldementia,2
diseaseecology,ireland,2
functionalmagneticresonanceimaging,blindsourceseparation,2
pca,abundance,2
measurements,cluster-analysis,2
pneumonia,influenza,2
communitystructure,region,2
spatial-distribution,mammals,2
land-use,nitrogen,8
spatialscale,distancedecay,2
clusteranalysis,allocation,2
pollution,heavy-metalpollution,2
africa,cover,4
resonanceimaging,visual-cortex,2
falciparum,deforestation,2
temporalvariability,particulateorganic-matter,2
areas,responses,2
population-structure,auto-correlation,2
multivariateanalysis,hong-kong,4
larvaldispersal,structure,2
satscan,united-states,4
trendanalysis,catchment,2
hongkong,quality,2
aquifer,behavior,2
populationgenetics,glacialrefugia,2
plantdevelopment,whitelupin,2
southern,series,2
gastropods,disturbance,2
lobeepilepsy,default-mode,2
spatialdynamics,western-europe,4
regulation,embryos,2
developmentaldyslexia,functionalmri,2
spatialautocorrelation,sub-saharanafrica,2
england,modis,2
speciesdiversity,twin-cays,2
seismic,seismotectonics,2
vaccination,great-britain,2
modis,field,2
horses,system,2
structure,species,2
gradient,surfaces,2
spatialdistribution,mosquitos,2
mediterranean,forest-fires,2
flow,variability,2
precursor,cells,2
analysis,yangtze-river,2
classification,signatures,2
enhancers,homeobox,4
striatecortex,mt,2
santa-barbarachannel,mesoscale,2
long-termpotentiation,nmdareceptor,2
models,regeneration,4
spatialvariation,pm2.5,2
groundwater,trophicstatus,2
dirichletprocessmixture,priors,4
drought,seasonalrainfall,2
india,constraints,2
period,rat,2
intelligence,efficiency,2
eastchinasea,taiwan,2
cluster,polarization,2
hydromagnetic-waves,electric-field,4
copper,microstructure,2
blind,field,2
butterflies,latitudinalgradient,2
membranedomains,redistribution,2
oryctolagus-cuniculus,great-britain,2
plant,outbreak,2
positron-emission-tomography,cingulatecortex,2
sourcelocalization,model,2
s-phase,humangenome,2
southerncalifornia,variability,4
schizophrenia,genetic-variation,2
lyme-disease,virus-infection,2
human-environmentinteractions,rice,2
agriculture,site,2
north-carolina,disease,2
drosophila,identification,2
rat,mechanisms,2
fuzzyclustering,fire,2
benthicmacroinvertebrates,communitystructure,2
risk,west-nile-virus,2
earth,imagery,2
design,approximation,2
aerosols,semiaridregion,2
spruce,dynamics,2
gis,soil,2
mouse,identification,2
prion,models,2
pollution,spain,20
blindseparation,brain,8
africa,sub-saharanafrica,2
satscan,singapore,2
speciescomposition,austria,2
near-infraredspectroscopy,spect,2
macrobenthos,abundance,2
tail,regeneration,2
neuralcircuits,perception,2
proliferation,lineage,4
principalcomponent,india,4
catstriatecortex,inferiortemporalcortex,2
fieldgel-electrophoresis,identification,4
salinity,trophicstatus,2
extracellularmatrix,mouseembryos,2
standardizedprecipitationindex,trends,2
type1diabetes,network,2
epidemiology,size,2
allelefrequencydata,temporal,2
drosophilahomeoticgenes,expression,2
land-use,india,4
classification,climate,4
humancerebral-cortex,cortical,4
decline,statistics,2
markovchainmontecarlo,effects,2
monkeys,visual-cortex,2
brain-damage,objects,2
fractalstructure,critical-point,2
lesions,network,2
acceleration,ions,2
limb,cluster,2
migraine,spatialstatistics,4
trace-metals,sediments,10
bacterialcommunities,patterns,2
home-range,foxvulpes-vulpes,2
bacterialcommunities,groundwater,2
demography,natural-populations,2
kernel,zones,2
microsatellites,ireland,2
variability,grasslands,2
eeg-fmri,time-series,4
ion,muscle,2
seasonal-variations,basin,6
imagery,reflectance,6
ganglia,independentcomponentanalysis,4
high-resolutioneeg,small-world,2
patterns,zone,2
networkanalysis,poland,2
water,phytoplanktoncharacteristics,2
resilience,maize,2
clustering,ndvidata,2
effects,vectors,2
climate-change,cluster-analysis,6
connections,field,2
habitatselection,regression,2
classification,scattering,2
retrieval,emissions,2
earlywarningsystem,models,2
prairie,speciesrichness,4
scaling,nutrient,2
calanus-finmarchicus,seasonal-variation,2
adult,in-vivo,2
marine-bacteria,rotation,2
geographicsurveillance,visualizingspatialdata,2
cell-death,abscisic-acid,2
currentsheet,nonlineardynamics,2
accuracy,approximation,2
conservation,estuaries,2
spatialpattern,plants,2
temporalcortex,analyticphase,2
speciesrichness,romania,2
abundance,precipitation,2
mediterranean,nespain,2
calcium,rat,2
microsatellite,markers,2
fauna,variability,2
states,north,2
ascidian,myosin,2
hotspot,new-south-wales,2
segmentalexpression,cluster,4
beta-catenin,homeodomain,4
spatial-analysis,statistics,2
lowercongobasin,communitystructure,2
pike,l.,2
vaccine,identification,2
corridors,uncertainityanalysis,2
dynamics,metrics,2
phase,emission,2
crustaldeformation,b-values,2
socialnetworks,transmission,2
dispersal,inference,2
macrofauna,stability,2
transcriptionfactor,protein,2
anomalies,pursuit,2
restingstate,neuralmechanisms,2
microtubules,organization,2
spatio-temporalanalysis,asia,2
transcriptionfactors,myod,4
oregon,fish,2
index,artificialneural-networks,2
recognition,combination,2
mammals,mitigation,2
consumption,impacts,2
dissipation,stability,2
cocaine,united-states,2
basin,elevation,2
glacier,basin,2
drosophila-melanogaster,networks,4
oxygen,western-australia,2
medialfrontal-cortex,architecture,2
model,trmm,2
soil,sediment,2
white-taileddeer,moosealces-alces,4
magmatism,yuccamountain,2
laminardistributions,individuals,2
region,prevalence,4
earthquake,mid-oceanridge,2
dairyfarms,outbreaks,2
proteoidroot,proteoidroots,4
transcriptionalregulation,murine,2
eeg,signals,2
oxygen,atlanticcod,2
northern,recovery,2
integrins,in-vitro,4
weeds,history,2
san-andreasfault,structure,2
landslides,imagery,2
diversity,compartmentalization,2
datamining,model,2
sourceidentification,algorithm,2
stochastic,infectious-disease,2
agriculture,science,2
restingstate,cognitivecontrol,2
spatial-analysis,point,2
white-taileddeer,reddeer,2
diversity,nitrification,4
earthquakeoccurrences,california,4
cluster,paradigm,2
climatechange,europe,2
filter,selection,2
borrelia-burgdorferi,infection,2
turbulence,sequence,2
effects,diseases,2
estuaries,species,2
uncertaintyanalysis,fragmentation,2
hydrothermalsystem,midoceanridge,2
multivariateanalysis,riverindia,2
distribution,mangrove,2
feedingecology,ruminants,2
aerosols,depth,4
high-latitudeconvection,low-altitude,4
membranedomains,protein,2
clusters,therapy,2
emissions,depth,2
principal,perspective,2
scanstatistic,disease,6
growthcones,spinal-cord,2
prefrontalcortex,immunoreactiveneurons,2
k-function,survival,2
anteriorcingulatecortex,blood-flow,2
seroprevalence,space,2
entorhinal,hippocampal,2
us,mortality,4
physics,b-value,2
risk-factors,disease,12
westantarctica,sea-ice,2
clustering,position,2
drought,europe,6
pacific,patterns,2
clustering,microarraydata,2
neuralnetwork,hydroclimatology,2
exposure,statistics,2
atmospheric,pollution,2
tuberculosis,diseasesurveillance,2
climate-changeimpacts,europe,2
drosophila,gene,2
model,cooperation,2
surfacetemperature,height,2
diseasemapping,prion,2
hasse,modeling,2
globalwarming,dispersal,2
embryonicstem-cells,conservednoncodingsequences,2
currents,field-alignedcurrents,2
losses,sensitivity,2
machines,mri,2
sequencedata,brazil,2
chagasdisease,vector-bornediseases,2
hawaii,patterns,2
falciparum,infection,2
model,interventions,2
algorithm,model,16
persistentorganicpollutants,agriculturalsoils,2
multivariatetechniques,clusteranalysis,4
ventilation,dogs,2
factors,children,2
regionalization,climatology,2
population-size,deer,2
ozone,trajectories,2
blood-vessels,neurodegenerative,2
herring,barentssea,4
acquisition,colonization,2
pattern,individuals,2
sea-surfacetemperature,westernpacific,2
clustering,land-cover,2
frenchalps,priors,2
surgery,stimulation,2
islands,richness,2
similarity,trees,2
heterogeneity,fluxes,2
temporaland,hong-kong,2
episodicmemory,cellassembly,2
dynamics,river-basin,2
spect,classification,2
recognition,mutations,2
planumtemporale,permutation,2
infectious-diseases,sheep,2
flatfish,ecosystem,2
space-timeinteraction,childhoodleukemia,2
network,mt,2
integration,responses,2
precipitationvariability,pacific,2
ca2+release,channels,2
introgression,geneticdifferentiation,2
gradientgel-electrophoresis,in-situ,2
smooth-muscle-cells,release,2
epidemic,africa,6
principalcomponentanalysis,site,4
stresstransfer,zone,2
south,transport,2
spatio-temporaldistribution,cluster,2
climate-change,scotianshelf,2
tetrode,pyramidalcells,2
space-timevariation,models,2
event-related,working-memory,2
records,calibration,2
spatialsynopticclassification,temporal,2
secondaryproduction,speciesrichness,2
populationgenetics,language,2
polycyclicaromatic-hydrocarbons,metals,2
immediateearlygenes,microarray,2
cross-correlation,auditory-cortex,2
magnetosphericphysics,solarwind-magnetosphere,4
statistical-methods,quality,2
climate-change,landscapedynamics,2
circulationpatterns,alaska,2
time,herds,2
phytoplankton,southern-ocean,8
genes,rice,4
artificialneural-networks,ecosystems,2
spatialpattern,climate-change,2
parti,circulation,2
diseaserisk,distributions,2
evolution,transition,2
emergency,access,2
limitation,sexualselection,2
assemblages,bayofbiscay,2
cloud,cycle,2
cluster,mirnas,2
distributions,turkey,2
cancer,environment,6
event,electroencephalogram,2
malaysia,villages,2
strategies,binding,2
zooplankton,model,2
homeobox,cerebral-cortex,4
spatialvariation,principalcomponentanalysis,2
communitystructure,correspondenceanalysis,2
clusteranalysis,cortex,2
factor,surfacewaters,2
herring,feeding-habits,4
deuterium,driven,2
clusteranalysis,atmosphericcirculation,6
networks,schizophrenia,4
numerical-simulation,precipitation,2
trabecularbone,induction,2
electrical-activity,patterns,2
growth,gis,6
precipitation,space-timemodel,2
falsediscoveryrate,dynamics,2
pneumonia,spatio-temporalanalysis,2
pulmonarytuberculosis,hospitaladmissions,2
greece,catalog,2
clustering,falciparum,2
geographicinformation,sequencealignment,2
pointprocesses,regimes,2
fault,dynamics,4
impact,trends,14
spatialdistribution,australia,2
developmentalexpression,ciona-intestinalis,2
fractionation,molecular-cloning,2
seismicitypatterns,faults,2
asia,beneath,2
markers,family,2
potentiation,ca1pyramidalneurons,2
seismicity,sea,2
montecarlosimulation,universe,2
temporalvariability,communitystructure,4
mitochondrial-dna,differentiation,6
ecology,geostatistics,2
identification,morphogenesis,4
housinggrowth,species,2
embryonicdevelopment,pathways,2
dynamics,colonization,2
southeasternunited-states,cluster-analysis,2
celltracking,thaliana,2
england,landscape,2
patterns,ecology,26
normalizeddifferencevegetationindex,land-coverchange,2
neuron,cells,2
united-kingdom,proteins,2
field,weatherradar,2
westnilevirus,texas,2
microzooplankton,waters,4
zone,speciestraits,2
speciescomposition,south-australia,2
temporal,infection,6
nitrogen-dioxide,sites,2
trophic,waters,2
resilience,social-ecologicalsystems,4
auditorycortex,environmentalsounds,2
mobility,self-organizingmaps,2
analysis,statistical-analysis,2
turbulence,times,2
lupinslupinus-angustifolius,diseases,2
laketaihu,diversity,2
fish,ecology,2
sheep,gps,2
temporalvariation,pollution,6
spatialscanstatistic,outbreak,2
atlantic,survival,2
multicriteriarankingsandfuzzyranks,senseddata,2
prediction,parameters,4
mortality,population,10
attention,gray-matterloss,2
models,habitat,6
occurrences,sequence,2
nanoparticles,luminescence,2
protein,events,2
temporal,homogeneitytest,2
strangeattractors,region,4
temporalchanges,monitoring,2
pathways,monkeystriatecortex,2
virus-infection,ducks,2
malaria,temporalanalysis,2
reconstruction,independentcomponentanalysis,2
waterquality,patternrecognition,4
principalcomponents,air,2
remotesensing,north-america,2
eeg,alzheimers-disease,2
spatialautocorrelation,geostatisticalanalysis,2
patterns,dengue,6
magnetic-resonance,individuals,2
tropicalcyclones,vulnerability,2
multiplesclerosis,risk,2
compression,visualization,2
fibroblast-growth-factor,differentiation,2
retrieval,depth,2
chromatin,retinoicacid,8
generegulation,persistence,2
sadie,distributions,2
hierarchicalclustering,groundwater,2
spatial-temporalpatterns,location,2
magnetosphericphysics,onset,2
residualanalysis,process,2
markedpointprocess,density,2
analysis,damage,2
cluster,air-pollution,2
interannualvariability,dailyprecipitation,2
deposits,optimization,2
molecular,eutrophiclake,2
electron-microscopy,gene,2
spain,cluster,6
magnetosphericphysics,cusp,4
images,nerve,2
water,classification,12
fresh-water,basin,4
hippocampalsclerosis,recordings,2
coast,zonation,4
mineralogy,magmatism,2
mt.etna,emissions,4
alpha-internexin,cortical,2
united-states,consumption,2
carnivore,bias,2
ethiopia,interventions,2
cingulatecortex,schizophrenia,2
spatialvariation,pollution,2
small-worldnetwork,defaultmodenetwork,2
interventions,health,2
suspendedsediment,usa,2
epicenter,barkbeetle,4
insituhybridization,nitric-oxidesynthase,2
discharges,models,2
sequence,record,2
evolution,f-statistics,2
communityorganization,droughts,2
statistical,basin,2
endophenotypes,whitematter,2
water,abundance,2
childhoodleukemia,adult,2
anxiety,obsessive-compulsivedisorder,2
hox,promoter,2
population,clusters,2
gradients,temporalpatterns,2
homogeneousregions,united-states,4
surface-chemistry,in-vitro,2
inversion,water,2
invasion,history,2
retrieval,pollution,2
frontal-cortex,control,2
forestmanagementplanning,perspective,2
plasmaconvection,large-scale,2
optimization,movements,2
additivepartitioning,spatialandtemporal,2
waves,beach,2
plants,maturation,2
modeling,variability,2
british-columbia,seabird,2
finland,gulf,2
pm2.5,hospitaladmissions,2
wave,stronggroundmotion,2
gammaoscillations,eeg,2
embryonicdevelopment,retinoicacid,2
environmentalfactors,continental-shelf,2
strike-slipfaults,geometry,2
spatial-analysis,clusterdetection,2
waveletanalysis,spatiotemporaldynamics,4
speciescomposition,waters,4
magnetosphericphysics,magnetosheath,2
floodplain,parameters,2
fireoccurrence,yellowstone-national-park,2
growth-factor,skeletal-muscle,2
pollution,coast,2
belize,patterns,2
multivariatestatisticalanalysis,turkey,2
data,programming,2
united-states,registration,2
neuropsychology,event-relatedfmri,2
tomography,temporalchanges,2
floodplain,poland,6
effectivepopulationsize,fragmentation,2
thematicclassificationaccuracy,populations,2
foragingbehavior,spatial-distribution,2
life-historytraits,microsatellite,2
dementiawithlewybodies,downs-syndrome,2
debrisflow,fire,2
lyme-disease,infection,2
remotesensing,energy,2
nirs,bipolardisorder,4
emissions,biomass,2
predictability,events,2
europe,vectors,2
pattern,brain-tissue,2
seasonalvariations,eutrophication,2
cytokines,in-vitro,2
infection,region,4
map,water,2
mooddisorders,fmri,2
dendroecology,naturaldisturbance,4
traffic,patterns,2
atlantic,markers,4
variability,biodiversityconservation,2
rupture,zone,2
simulation,distance,2
clusterroots,phosphorusdeficiency,2
generegulation,pathway,2
kernelanalysis,china,2
mendoza,australia,4
biological-control,stochastic-models,2
humanbrain,anatomy,2
parallelcomputing,convection,2
earthquakerecurrence,region,2
clusteringanalysis,neuronal-activity,2
west-africa,precipitation,6
epidemic,impact,6
spatio-temporal,model,6
seaice,bacteria,2
field,series,2
riskfactor,viruses,2
space-timemodel,generation,2
distance,distributions,4
connectivity,alzheimers-disease,6
species-diversity,interspecificcompetition,2
primate,fields,2
temporal,areas,2
region,geometry,2
spatiotemporal,land-cover,2
land-use,areas,2
effectivepopulation-size,scale,2
borealforest,northwest,2
japan,constraints,2
waves,convection,4
virus,vectors,2
waterresources,management,2
map,emissions,2
kriging,multivariate-analysis,2
english,duration,2
united-states,great-lakes,2
food,fractionation,2
coastalcurrent,ocean,2
cluster,migration,2
interannualvariability,nino,2
16sribosomal-rna,brazil,2
epidemiology,glioma,4
pollution,usa,2
radiativeproperties,atlantic,2
pelagicfish,waters,2
brazil,epidemiology,8
grouppica,architecture,2
epidemiology,maryland,4
pulses,clusters,6
sentencecomprehension,corpus-callosum,2
activity,linkcluster-analysis,2
spatialpatterns,succession,2
transmission,range,4
resonanceenergy-transfer,total,2
grasslands,dynamics,2
stream,posteriorparietalcortex,2
precursorproteingene,temporal-lobe,2
vulnerability,variability,2
reservedesign,distributionpatterns,2
nucleation,overlap,4
patterns,objects,4
united-states,land-use,2
depolarization,quantitative-analysis,2
clusterdetection,influenza,2
detectionprobability,occupancy,2
clustering,horses,2
anchoringprotein,phosphorylation,2
pattern-analysis,empiricalbayes,2
ndvi,avhrr,2
mesoderm,information,2
embryonic-development,bodies,2
geographicinformationsystems,virus,2
microsatellites,flow,4
cortex,nmdareceptors,2
zoonoses,poisson,2
cluster-analysis,series,2
statistical-analysis,regression-models,2
percolation,organization,2
primary,usa,2
identification,strains,2
statisticalanalysis,apportionment,4
humanvisual-cortex,brainactivation,2
distributions,finland,2
polarity,phosphorylation,2
models,epilepsy,2
critical-point,events,2
systems,birds,2
pcbs,soils,2
genotypingerrors,allelefrequency,2
risk-factors,lakes,2
socioeconomic-status,infant-mortality,2
generalizedlinearmodels,rain-forest,2
films,diagnostics,2
climate,pca,4
learning,kinematics,2
phytoplankton,bay,12
structure,oregon,2
discriminant-analysis,recognition,2
precisionagriculture,yield,4
sea-ice,climate-change,2
immunohistochemistry,identification,2
computer-program,habitat,4
geographical,northpacific,2
salinity,temporalpatterns,2
variations,climate,2
salmon,phylogeny,2
dti,spatial,2
population,small-magellanic-cloud,2
source,high-resolutioneeg,2
clustering,objects,2
porous-media,exchange,2
life-historytraits,nullalleles,2
contrast,elements,2
clustering,wavelets,2
neural-networks,brain,2
newzealand,dynamics,2
ancientdna,geneticdiversity,2
sunspots,flares,2
ecologicalcommunities,scale,2
phylogeny,expression,6
surveillance,sensitivity,2
snakes,surfaces,2
population,ecology,6
dnamarkers,polymorphisms,2
sea-surfacetemperature,principalcomponents,2
spatialautocorrelation,ponderosapine,2
keratinocytes,expression,4
forecast,flood,2
shape,macaquemonkey,2
proteins,in-vivo,2
urban,taiwan,2
colinearity,temporalcolinearity,2
projections,interneurons,2
challenges,rates,2
posets,"diagrams,andlinearextensions",2
discrimination,sites,2
modis,accuracy,2
clusteranalysis,athens,2
temporal,virustransmission,2
solarwind-magnetosphere,hfradarobservations,2
clusteringmethods,spatio-temporalanalysis,2
mississippi,impact,2
communication,signals,2
geovisualization,matrix,2
complexnetworks,sleep,2
gastropods,french-polynesia,2
radiative-transfer,frequencies,2
escherichiacoli,beaches,2
markovchain,repeat,2
nitrate,quality,8
dnareplication,nucleus,2
criticalareas,confidencestatements,2
fish,restoration,2
invertebrate,history,2
maximum-likelihood,pcr,2
trenddetection,abundance,2
earthquakes,northanatolianfault,4
hoxgenes,complex,8
bangladesh,asia,2
bodysize,allometry,2
markovchain,spatialdata-analysis,2
shelf,abundance,4
cancer,behavior,2
binding,proteins,2
forecast,river,2
magnetopause,framework,2
visual-cortex,oscillators,2
neuralnetwork,habitat,2
disturbance,spatiotemporalpatterns,2
analysis,spain,6
thailand,groundwaterquality,2
ecosystems,biomass,4
interface,circulatingfluidized-bed,2
land-use,snakes,2
lakemichigan,water-quality,2
diseaserisk,epidemiology,2
socioeconomic-status,survival,4
sensitivity,receptor,2
geographicinformationsystems,urbanareas,2
tissueengineering,trabecularbone,2
moment,scale,2
turbidity,aeronet,2
analysis,empiricalbayes,2
waterquality,groundwater,8
soil,16sribosomal-rna,2
reservoir,cluster,2
malaria,dynamics,6
groundwaterchemistry,texas,2
postmortem,spatial-distribution,2
bay,urban,2
spatialclustering,abundance,2
heterotrophicbacteria,identification,2
predictability,climate,2
model,stationarity,2
acoustic,ecosystem,2
embryonicdevelopment,expression,2
spatial,turnover,2
south-africa,acutelymphoblastic-leukemia,2
polymorphisms,ponderosapine,2
ichthyoplankton,ocean,2
vulnerability,resilience,4
northamerica,analysis,2
long-term,ndvidata,2
continental-shelf,demersalfishes,2
mouse,projections,2
spatial-temporalmodel,dynamics,2
neuralcircuits,epilepsy,2
humanauditory-cortex,environmentalsounds,4
irradiance,adriaticsea,2
artificialneural-networks,cluster-analysis,2
vegetation,cover,2
spatialcluster,disease,2
flowerdevelopment,sequencealignment,2
disease,usa,2
assemblages,bacterial,2
spatialstatistics,epidemiology,4
sets,elevatedclusterprioritization,2
aedes-aegypti,framework,2
sus-scrofa,space,2
asymmetry,pet,2
trophicstatus,gomtiriverindia,2
epidemiology,louisiana,4
sunspots,patterns,2
contamination,zinc,2
computer-program,bears,2
humanauditory-cortex,eeg-fmri,2
surfacewater,estuary,2
brazil,temporal,2
intensity,variability,2
colonization,management,2
greatearthquakes,model,2
timberharvests,search,2
ozone,quality,6
gis,transition,2
diffusiontensorimaging,frontotemporaldementia,2
nutrientmanagement,yield,2
transcriptionfactor,humangenome,2
currents,patterns,2
precipitation,tracking,8
forestfires,locations,2
epidemiology,perturbation,4
three-dimensional,humanbrain,2
systems,disorder,2
demersalfishassemblages,temporalvariations,2
superior,singleneurons,2
indexes,sets,2
blindsourceseparation,datasets,2
geneticstructure,markers,2
species,algorithm,2
communities,integrity,4
hyper-temporal,speciescomposition,2
circulation,coastalcurrent,2
computing,architecture,2
independentcomponent,modulation,2
space-time,displacement,2
entropy,data,4
speciescomposition,vegetation,6
evolution,order,4
human,pigs,2
dti,diagnosis,2
phylogeny,atlantic,2
hippocampus,spikes,2
developingbrain,pattern,2
wheat,israel,2
management,predators,2
virus,abundance,4
south-africa,regression,2
state,task,2
associativememory,computation,2
high-frequencyoscillations,intracerebraleeg,4
segmentation,validity,2
multivariateanalysis,lake,2
nonstationarity,tensor-basedmorphometry,2
stronggroundmotion,parkfield,2
clusteranalysis,japan,2
coefficient,design,2
mri,responses,2
antarctica,shelf,2
hydrology,landsat,2
sediment,physicochemical,2
self-organizedcriticality,earthquakes,4
histologicalsections,mice,2
minas-gerais,area,2
cognition,alcohol-usedisorders,2
spatial-pattern,satellitedata,2
extrastriatecortex,fmri,2
geochemistry,lithosphere,2
deuterium,usa,2
speciescomposition,basin,2
change,multiscalelandscapepatternmetrics,2
tissueengineering,scaffolds,4
imagingdata,grouppica,2
speciescomposition,distributions,8
disparities,trends,2
peninsula,classification,4
data,oxygenation,2
estuary,marine,2
activetectonics,plate-boundary,2
factoranalysis,lake,2
istanbul,sediments,2
oxygen-consumption,hemodynamic-response,2
plains,frequency,2
malaria,interventions,2
seasonality,convection,2
southern-ocean,statistical-analysis,2
geographicinformation,temporalanalysis,2
assemblages,reservoirs,2
cancer,lung-cancer,4
biomass,dynamics,8
eruption,zone,2
children,distance,2
poissonprocesses,occurrences,4
time,propagation,2
poultry,disease,2
urbanization,air-temperature,2
social,discrimination,2
biomass,penguins,2
clustering,metrics,4
electroencephalogram,analysis,2
decisiontree,index,2
18srrna,diversity,2
dementia,functionalconnectivity,2
mytilus-edulis,recruitment,2
wildfire,area,4
united-states,dynamics,8
information,morphology,2
eeg,small-worldnetwork,4
factoranalysis,india,18
spinal-cord,water,2
white-taileddeer,soil,2
repetitionpriming,superior,2
theragra-chalcogramma,transport,2
aflp,geneticdiversity,4
transcription,complex,6
classification,map,2
eye,development,2
ip3receptors,oocytes,4
peripheralnervous-system,compoundeye,2
flood,spatial-temporalpatterns,2
hydrodynamics,cooling-flowclusters,2
spatialdistribution,surveillance,2
classification,ordination,2
proteomics,strategy,4
responses,impact,2
ica,model,4
seedlingrecruitment,fire,2
chromosomes,chromatin,2
waterquality,water-quality,2
reservoir,growth,2
perception,selection,2
hemorrhagic-fever,aedes-aegypti,12
dna-binding,superfamily,2
floodfrequency,trends,2
brazil,child-mortality,2
spatial-temporal,model,4
new-zealand,travel,2
cluster,variability,4
spatial,exploration,4
pointpatternanalysis,houston,2
spatialstatistics,spatial,2
pattern,mutations,2
aggregation,modeling,2
bodies,voxelpattern-analysis,2
prediction,forecasts,2
abscisic-acid,developmentalexpression,2
spatialvariability,power,2
circulation,epidemiology,2
spatialandtemporalvariation,variability,2
aftershocks,point,2
india,japan,2
succession,dominance,2
disorder,tests,2
physicochemical,india,4
changedetection,indexes,2
epidemiology,patterns,30
cloudclusters,populations,2
particle,energeticions,2
balticsea,production,2
inference,dynamics,2
dendriticspines,protein,2
coatprotein,variability,2
precipitation,principalcomponentanalysis,18
imagesegmentation,dynamic,2
allozymes,polymorphisms,2
pyramidalneurons,synaptic,2
crustalstructure,centralchile,2
biomarker,gradientgel-electrophoresis,2
dynamics:seismotectonics,occurrences,2
flow,rainfall,2
behavior,differentiation,2
kernelanalysis,pm2.5,2
resistance,latitudinal,2
climatechange,vegetation,2
spatialclustering,neural,2
cortex,spatial,4
neuroimaging,mri,2
largeearthquakes,strain,2
parameters,cluster,2
persistence,circulation,2
gis,singapore,4
laketaihu,gradientgel-electrophoresis,2
sheep,model,2
mouseembryos,hox,2
simulationmodel,birds,2
dispersal,management,8
landscape,productivity,2
united-states,temporalpatterns,2
beta-catenin,animal-vegetalaxis,4
pointpatternanalysis,conservation,2
swine,humans,2
diversity,children,2
growthcones,differentialexpression,2
hippocampus,tetrode,2
objectrecognition,orbitofrontalcortex,2
landscape,systems,4
k-meansclustering,quality,2
chlorophyll-a,plume,2
project,cells,2
mri,diffusion,10
majorhistocompatibilitycomplex,amphibians,2
convection,parameters,2
colinearity,a/paxis,2
mantle,cusp,2
observations,dispersion,2
moosealces-alces,heterogeneity,2
dayabay,statisticaltechniques,2
space-timevariation,trends,2
signal,dataclustering,2
molecular-dynamics,cu,2
simultaneouseeg-fmri,localization,2
clustering,detection,2
tipgrowth,arabidopsis-thaliana,2
ale,voxel-basedmorphometry,2
retinoicacid,chromosometerritories,2
landslide,patterns,2
emergence,america,2
trace-metals,fractionation,2
spatio-temporalclustering,space,2
vulnerability,biodiversity,4
san-andreasfault,recurrence,8
virus,diptera,2
droughts,microhabitatuse,4
downs-syndrome,neuropilthreads,2
ganglia,central-nervous-system,2
midbrain,transcriptionfactor,2
lung,differentialexpression,2
atrophy,corpus-callosum,2
bioinformatics,genome,2
polycyclicaromatic-hydrocarbons,population,2
regressiontrees,north-america,2
monsoon,associations,2
variability,istanbul,2
gulfofcadiz,north-atlantic,2
highlands,area,4
point,runoff,2
variability,frequencies,2
aquaticmacrophytes,communities,2
climate-change,infections,2
diversity,ireland,2
cluster-analysis,forecasts,2
positron-emission-tomography,time,2
skin,keratinocytes,4
spatial-distribution,japan,2
estuary,marine-sediments,4
stress,assemblies,2
mantle,geochemistry,2
bangladesh,viruses,2
northpacific,habitat,2
identification,stocks,2
at-riskmentalstate,networks,2
membrane,activation,2
somatosensorystimulation,functionalmri,2
montecarlosimulation,responses,2
borealforest,fire,2
ndvi,deforestation,2
nao,ocean,2
resistance,diversity,2
magnetoencephalography,mapping,2
conservationgenetics,selection,2
diversity,emissions,4
fractaldimension,trajectories,2
defaultmodenetwork,architecture,2
mildcognitiveimpairment,frontotemporaldementia,2
biosurveillance,tests,2
cluster-analysis,precipitation,18
sadie,winter-wheat,4
medial,individual-differences,4
k-means,water,2
trendanalysis,heavy-metals,2
nitrogen-dioxide,boundary-layer,2
k-function,us,2
scaffolds,expression,2
dispersal,divergentselection,2
hippocampal,eeg,2
salinity,basin,2
geostatistics,spatialautocorrelation,2
carbon-dioxide,variability,2
structural,benthiccommunitystructure,2
recognitionmemory,neural-network,2
temporalcortex,olfactoryeeg,2
soil,stability,2
modeling,infection,2
precipitation,temporalevolution,4
spatial,apolipoproteine(apoe),2
population-dynamics,zonation,2
vascular,mice,2
local,stresses,2
scolytidae,coleoptera,6
marine-sediments,production,2
progenitors,cerebral-cortex,2
runoff,system,2
macaque,dynamics,2
vector-bornediseases,malaria,4
analysis,iran,2
stars:formation,initialmassfunction,4
turnover,climate,2
awareness,anteriorcingulatecortex,2
temporal,consequences,2
network,information,4
landscapeecology,lessons,2
efficiency,sex,2
multivariatestatisticaltechniques,surface-waterquality,6
magnitude,forest,2
human-environmentinteractions,wetland,2
molecular,genes,2
statistical,pollution,6
clustering,electrical-activity,2
interannual,variability,2
analysis,community,4
children,tanzania,2
ocean,interannualvariability,2
